Time,Rotor Speed (omega),Aerodynamic Torque (T_m),Wind Speed,Pitch Angle
53.553553553553556,inf,-0.0,6.399358548195642,3.2113848221709533
53.653653653653656,inf,-0.0,6.411441985435637,3.2069282370926526
53.753753753753756,inf,-0.0,6.423684595336793,3.2025165685029093
53.853853853853856,inf,-0.0,6.4360851511961625,3.198149926914122
53.953953953953956,inf,-0.0,6.448642410484699,3.1938284217107618
54.054054054054056,inf,-0.0,6.461355114971756,3.189552161146633
54.154154154154156,inf,-0.0,6.474221990851161,3.18532125234216
54.254254254254256,inf,-0.0,6.4872417488688505,3.1811358012817053
54.354354354354356,inf,-0.0,6.500413084452055,3.176995912810913
54.454454454454456,inf,-0.0,6.513734677840011,3.1729016906340837
54.55455455455456,inf,-0.0,6.527205194216204,3.168853237311576
54.65465465465466,inf,-0.0,6.54082328384212,3.164850654257239
54.75475475475476,inf,-0.0,6.554587582192479,3.160894041735869
54.85485485485486,inf,-0.0,6.568496710091969,3.1569834988606997
54.95495495495496,inf,-0.0,6.582549273853433,3.153119123590919
55.05505505505506,inf,-0.0,6.596743865417517,3.1493010127292163
55.15515515515516,inf,-0.0,6.611079062493761,3.145529261919356
55.25525525525526,inf,-0.0,6.625553428703103,3.1418039656437804
55.35535535535536,inf,-0.0,6.640165513721813,3.1381252172212477
55.45545545545546,inf,-0.0,6.654913853426807,3.134493108804489
55.55555555555556,inf,-0.0,6.6697969700423565,3.130907731377903
55.65565565565566,inf,-0.0,6.684813372288157,3.1273691747552768
55.75575575575576,inf,-0.0,6.699961555528756,3.123877527577533
55.85585585585586,inf,-0.0,6.715240001924318,3.120432877310515
55.95595595595596,inf,-0.0,6.730647180582707,3.117035310242789
56.05605605605606,inf,-0.0,6.746181547712884,3.113684911483488
56.15615615615616,inf,-0.0,6.761841546779592,3.1103817649601773
56.25625625625626,inf,-0.0,6.777625608659323,3.1071259534167526
56.35635635635636,inf,-0.0,6.793532151797542,3.103917558411368
56.45645645645646,inf,-0.0,6.809559582367156,3.1007566603143903
56.55655655655656,inf,-0.0,6.825706294428217,3.0976433383063897
56.65665665665666,inf,-0.0,6.841970670088837,3.094577670376154
56.75675675675676,inf,-0.0,6.858351079667295,3.091559733318734
56.85685685685686,inf,-0.0,6.874845881855336,3.088589602733522
56.95695695695696,inf,-0.0,6.891453423882627,3.085667353022357
57.05705705705706,inf,-0.0,6.908172041682363,3.0827930573876605
57.15715715715716,inf,-0.0,6.9250000600580055,3.0799667878306045
57.25725725725726,inf,-0.0,6.9419357928511385,3.0771886151493053
57.35735735735736,inf,-0.0,6.958977543110418,3.074458608937052
57.45745745745746,inf,-0.0,6.976123603261607,3.0717768375805625
57.55755755755756,inf,-0.0,6.993372255278673,3.0691433682582705
57.65765765765766,inf,-0.0,7.010721770855934,3.0665582669386424
57.75775775775776,inf,-0.0,7.028170411581233,3.0640215983785257
57.85785785785786,inf,-0.0,7.0457164291101275,3.0615334261215255
57.95795795795796,inf,-0.0,7.0633580653410695,3.059093812496413
58.05805805805806,inf,-0.0,7.08109355259157,3.056702818615566
58.15815815815816,inf,-0.0,7.098921113775317,3.054360504373435
58.25825825825826,inf,-0.0,7.116838962580241,3.0520669284450457
58.35835835835836,inf,-0.0,7.1348453036474995,3.0498221482845276
58.45845845845846,inf,-0.0,7.152938332751375,3.047626220123674
58.55855855855856,inf,-0.0,7.171116236980053,3.0454791989705363
58.65865865865866,inf,-0.0,7.189377194917279,3.0433811386080434
58.75875875875876,inf,-0.0,7.20771937682486,3.041332091592654
58.85885885885886,inf,-0.0,7.226140944826007,3.0393321092530443
58.95895895895896,inf,-0.0,7.244640053089482,3.0373812416888164
59.05905905905906,inf,-0.0,7.2632148480145595,3.0354795377692474
59.15915915915916,inf,-0.0,7.281863468416749,3.0336270451320644
59.25925925925926,inf,-0.0,7.300584045714287,3.0318238101822494
